artist,tags
Radiohead,"alternative, alternative rock, rock, indie, electronic"
Boards of Canada,"ambient, electronic, idm, electronica, chillout"
Interpol,"indie, indie rock, post-punk, seen live, alternative"
The National,"seen live, indie rock, indie, alternative, rock"
Burial,"dubstep, electronic, ambient, experimental, electronica"
Aphex Twin,"electronic, idm, ambient, experimental, electronica"
Arctic Monkeys,"indie rock, indie, british, rock, alternative"
Nine Inch Nails,"industrial, industrial rock, rock, alternative, electronic"
Animal Collective,"experimental, indie, freak folk, seen live, indie rock"
Bon Iver,"folk, indie, singer-songwriter, acoustic, seen live"
The xx,"indie, electronic, british, post-punk, seen live"
David Bowie,"rock, glam rock, classic rock, 80s, alternative"
The Smiths,"indie, 80s, post-punk, new wave, alternative"
Joy Division,"post-punk, new wave, 80s, alternative, indie"
Pink Floyd,"Progressive rock, classic rock, Psychedelic Rock, rock, psychedelic"
Massive Attack,"trip-hop, electronic, chillout, downtempo, electronica"
Depeche Mode,"electronic, new wave, 80s, synthpop, synth pop"
The Beatles,"classic rock, rock, british, 60s, pop"
Arcade Fire,"indie, indie rock, alternative, Canadian, seen live"
Beach House,"dream pop, seen live, indie pop, indie, Lo-Fi"
The Cure,"post-punk, new wave, alternative, 80s, rock"
Coldplay,"rock, alternative, britpop, alternative rock, indie"
my bloody valentine,"shoegaze, dream pop, indie, alternative, indie rock"
Air,"electronic, chillout, ambient, french, electronica"
Muse,"alternative rock, rock, alternative, Progressive rock, seen live"
Elliott Smith,"singer-songwriter, indie, folk, acoustic, indie rock"
Portishead,"trip-hop, electronic, female vocalists, chillout, trip hop"
Autechre,"idm, electronic, experimental, ambient, electronica"
Crystal Castles,"electronic, 8-bit, new rave, electro, seen live"
Daft Punk,"electronic, House, dance, electronica, techno"
Kanye West,"Hip-Hop, rap, hip hop, rnb, Kanye West"
Bonobo,"downtempo, electronic, chillout, trip-hop, ninja tune"
Beirut,"folk, indie, indie folk, singer-songwriter, Gypsy"
Björk,"electronic, alternative, experimental, female vocalists, icelandic"
